PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Jankowska, Elzbieta; Kaczmarek, Dominik; Bolzoni, Francesco; Hammar, Ingela								Long-lasting increase in axonal excitability after epidurally applied DC								JOURNAL OF NEUROPHYSIOLOGY				118	2			1210	1220		10.1152/jn.00148.2017				AUG 2017	2017	Effects of direct current (DC) on nerve fibers have primarily been investigated during or just after DC application. However, locally applied cathodal DC was recently demonstrated to increase the excitability of intraspinal preterminal axonal branches for >1 h. The aim of this study was therefore to investigate whether DC evokes a similarly long-lasting increase in the excitability of myelinated axons within the dorsal columns. The excitability of dorsal column fibers stimulated epidurally was monitored by recording compound action potentials in peripheral nerves in acute experiments in deeply anesthetized rats. The results show that 1) cathodal polarization (0.8-1.0 mu A) results in a severalfold increase in the number of epidurally activated fibers and 2) the increase in the excitability appears within seconds, 3) lasts for >1 h, and 4) is activity independent, as it does not require fiber stimulation during the polarization. These features demonstrate an unexplored form of plasticity of myelinated fibers and indicate the conditions under which it develops. They also suggest that therapeutic effects of epidural stimulation may be significantly enhanced if it is combined with DC polarization. In particular, by using DC to increase the number of fibers activated by low-intensity epidural stimuli, the low clinical tolerance to higher stimulus intensities might be overcome. The activity independence of long-lasting DC effects would also allow the use of only brief periods of DC polarization preceding epidural stimulation to increase the effect.NEW & NOTEWORTHY The study indicates a new form of plasticity of myelinated fibers. The differences in time course of DC-evoked increases in the excitability of myelinated nerve fibers in the dorsal columns and in preterminal axonal branches suggest that distinct mechanisms are involved in them. The results show that combining epidural stimulation and transspinal DC polarization may dramatically improve their outcome and result in more effective pain control and the return of impaired motor functions.																		0022-3077	1522-1598		WOS:000408102700045	28515284	
J	Vallejo, Ricardo; Bradley, Kerry; Kapural, Leonardo								Spinal Cord Stimulation in Chronic Pain								SPINE				42	14			S53	S60		10.1097/BRS.0000000000002179			S	JUL 15 2017	2017	Study Design. Literature review.Objective. A review of the literature that presents a perspective on mechanisms of actions behind spinal cord stimulation (SCS) therapy for chronic pain.Summary of Background Data. SCS is an effective therapeutic alternative for the treatment of intractable chronic pain. Its application has been mostly based on the gate control theory of pain. Computational models have been fundamental on the understanding of clinical observations and the design of therapies that provide optimal neuromodulation. Research has provided insight into the involvement of specific neurotransmitters that support segmental and supraspinal mechanisms of action.Methods. A literature review was performed with emphasis on mechanisms of action for SCS including the effects of electrical fields on spinal cord structures based on computational models and preclinical and clinical explorations.Results. This review provides background on the development of SCS, which has been driven around a paresthesia-based paradigm as a result of the gate control theory. A review of computational models emphasizes their importance on our current understanding of the mechanism of action and clinical optimization of therapy. Electrophysiology and molecular biology have provided a closer, yet narrow, view of the effect of SCS on neurotransmitters and their receptors, which have led to the formulation of segmental and supraspinal mechanisms. Literature supporting the involvement of glial cells in chronic pain and their characteristic response to electrical fields should motivate further investigation of mechanisms involving neuroglia. Finally, a review of recent results paresthesia-free strategies should encourage research on mechanisms of action.Conclusion. The mechanisms of SCS have been extensively studied and several consistent phenomena have emerged. The activation of A-beta fibers to induce paresthesia also involve neurotransmitter release via segmental and supraspinal pathways. Despite advancements, much remains to be understood, particularly as new stimulation strategies are developed.																		0362-2436	1528-1159		WOS:000415855000004	28368982	
J	Piche, Mathieu; Paquette, Thierry; Leblond, Hugues								TIGHT NEUROVASCULAR COUPLING IN THE SPINAL CORD DURING NOCICEPTIVE STIMULATION IN INTACT AND SPINAL RATS								NEUROSCIENCE				355				1	8		10.1016/j.neuroscience.2017.04.038				JUL 4 2017	2017	Functional magnetic resonance imaging (fMRI) is based on neurovascular coupling, which allows inferring neuronal activity from hemodynamic changes. Spinal fMRI has been used to examine pain processes, although spinal neurovascular coupling has never been investigated. In addition, fluctuations in mean arterial pressure (MAP) occur during nociceptive stimulation and this may affect neurovascular coupling. The objective of this study was to examine neurovascular coupling in the rat spinal cord during nociceptive stimulation while MAP was manipulated by cervical spinal transection, which prevents nociception-related MAP increases. Six male Wistar rats were anesthetized with isoflurane (1.2-1.5%). Local field potentials (LFP) and spinal cord blood flow (SCBF) were recorded concurrently in the lumbar enlargement, where activity was evoked by electrical stimulation of the sciatic nerve. In intact conditions, stimulation of graded intensity produced proportional changes in SCBF and LFP that were paralleled by similar changes in MAP. However, spinal transection almost abolished MAP changes (p < 0.001), while SCBF and LFP responses were not significantly affected (p > 0.3) and remained similarly coupled before and after spinal transection. This indicates that spinal hemodynamic changes reflect neuronal activity even when large fluctuations in MAP occur. This contrasts with results from previous studies on cerebral neurovascular coupling and suggests that spinal autoregulation might allow better adaptation to sudden MAP changes than cerebral autoregulation. Although assessment of the coupling between spinal neuronal activity and BOLD signal remains to be investigated, this study supports the use of spinal fMRI, based on the tight coupling between SCBF and LFP. (C) 2017 IBRO. Published by Elsevier Ltd. All rights reserved.																		0306-4522	1873-7544		WOS:000404075700001	28479402	
J	Sperry, M. M.; Kandel, B. M.; Wehrli, S.; Bass, K. N.; Das, S. R.; Dhillon, P. S.; Gee, J. C.; Barr, G. A.								MAPPING OF PAIN CIRCUITRY IN EARLY POST-NATAL DEVELOPMENT USING MANGANESE-ENHANCED MRI IN RATS								NEUROSCIENCE				352				180	189		10.1016/j.neuroscience.2017.03.052				JUN 3 2017	2017	Premature or ill full-term infants are subject to a number of noxious procedures as part of their necessary medical care. Although we know that human infants show neural changes in response to such procedures, we know little of the sensory or affective brain circuitry activated by pain. In rodent models, the focus has been on spinal cord and, more recently, midbrain and medulla. The present study assesses activation of brain circuits using manganese-enhanced magnetic resonance imaging (MEMRI). Uptake of manganese, a paramagnetic contrast agent that is transported across active synapses and along axons, was measured in response to a hindpaw injection of dilute formalin in 12-day-old rat pups, the age at which rats begin to show aversion learning and which is roughly the equivalent of full-term human infants. Formalin induced the oft-reported biphasic response at this age and induced a conditioned aversion to cues associated with its injection, thus demonstrating the aversiveness of the stimulation. Morphometric analyses, structural equation modeling and co-expression analysis showed that limbic and sensory paths were activated, the most prominent of which were the prefrontal and anterior cingulate cortices, nucleus accumbens, amygdala, hypothalamus, several brainstem structures, and the cerebellum. Therefore, both sensory and affective circuits, which are activated by pain in the adult, can also be activated by noxious stimulation in 12-day-old rat pups. (C) 2017 IBRO. Published by Elsevier Ltd. All rights reserved.																		0306-4522	1873-7544		WOS:000401888700017	28391012	
J	Choi, Yoon-Hee; Lee, Shi-Uk								Enhancement of brain plasticity and recovery of locomotive function after lumbar spinal cord stimulation in combination with gait training with partial weight support in rats with cerebral ischemia								BRAIN RESEARCH				1662				31	38		10.1016/j.brainres.2017.02.017				MAY 1 2017	2017	Lumbar spinal cord stimulation (LSCS) is reportedly effective for the recovery of locomotive intraspinal neural network, motor cortex and basal ganglia in animals with complete spinal cord injury and parkinsonism. We evaluated the effect of LSCS in combination with gait training on the recovery of locomotive function and brain plasticity using a rat model of brain ischemia. Adult male Sprague Dawley rats with ischemia were randomly assigned into one of four groups: sham treatment (group 1), LSCS only (group 2), LSCS with gait training and 50% (group 3) and 80% (group 4) of body weight support. Evaluations before randomization and 4 weeks after intervention included motor scoring index, real-time PCR and Western blot. Motor scoring index was significantly improved after the intervention in groups 2 and 3. The ratio of phospho-protein kinase C (PKC) to PKC measured in the infarcted area tended to be higher in groups 3 and 4. Protein expression of mGluR2 and mRNA expression of mGluR1 measured in the contralateral cortex were lower in groups 3 and 4. The ratio of phospho-Akt to Akt and mRNA expression of vascular endothelial growth factor measured in the ischemic border zone were higher in group 2. The mRNA expression of MAP1b measured in the infarcted area was significantly higher in group 2. The findings suggest that LSCS and gait training with an adequate amount of body weight support may promote brain plasticity and facilitate the functional recovery. (C) 2017 Elsevier B.V. All rights reserved.																		0006-8993	1872-6240		WOS:000400717000005	28237545	
J	Bloch, Jocelyne; Lacour, Stephanie P.; Courtine, Gregoire								Electronic Dura Mater Meddling in the Central Nervous System								JAMA NEUROLOGY				74	4			470	475		10.1001/jamaneurol.2016.5767				APR 1 2017	2017	IMPORTANCE A growing number of neurologic treatments rely on neural implants capable of delivering electrical and chemical stimulation to targeted regions of the central nervous system for extended periods.OBJECTIVE To assess the potential of a novel class of multimodal neural implants, termed electronic dura mater or e-dura, to fulfill this need.EVIDENCE REVIEW Results from preclinical applications of e-dura implants and clinical evidence.FINDINGS The silicone-based implant e-dura embeds interconnects, electrodes, and chemotrodes that are entirely stretchable. These unique mechanical properties allow e-dura to conform to the circumvolutions of the brain and spinal cord without damaging neural tissues or triggering foreign body reactions.CONCLUSIONS AND RELEVANCE Although challenges lie ahead to reach clinical fruition, the unique mechanical properties and integrated modalities of e-dura provide future opportunities to treat or alleviate neurologic deficits.																		2168-6149	2168-6157		WOS:000398679600019	28241158	
J	Chen, Chiun-Fan; Bikson, Marom; Chou, Li-Wei; Shan, Chunlei; Khadka, Niranjan; Chen, Wen-Shiang; Fregni, Felipe								Higher-order power harmonics of pulsed electrical stimulation modulates corticospinal contribution of peripheral nerve stimulation								SCIENTIFIC REPORTS				7						43619	10.1038/srep43619				MAR 3 2017	2017	It is well established that electrical-stimulation frequency is crucial to determining the scale of induced neuromodulation, particularly when attempting to modulate corticospinal excitability. However, the modulatory effects of stimulation frequency are not only determined by its absolute value but also by other parameters such as power at harmonics. The stimulus pulse shape further influences parameters such as excitation threshold and fiber selectivity. The explicit role of the power in these harmonics in determining the outcome of stimulation has not previously been analyzed. In this study, we adopted an animal model of peripheral electrical stimulation that includes an amplitude-adapted pulse train which induces force enhancements with a corticospinal contribution. We report that the electrical-stimulation-induced force enhancements were correlated with the amplitude of stimulation power harmonics during the amplitude-adapted pulse train. In an exploratory analysis, different levels of correlation were observed between force enhancement and power harmonics of 20-80 Hz (r = 0.4247, p = 0.0243), 100-180 Hz (r = 0.5894, p = 0.0001), 200-280 Hz (r = 0.7002, p < 0.0001), 300-380 Hz (r = 0.7449, p < 0.0001), 400-480 Hz (r = 0.7906, p < 0.0001), 500-600 Hz (r = 0.7717, p < 0.0001), indicating a trend of increasing correlation, specifically at higher order frequency power harmonics. This is a pilot, but important first demonstration that power at high order harmonics in the frequency spectrum of electrical stimulation pulses may contribute to neuromodulation, thus warrant explicit attention in therapy design and analysis.																		2045-2322			WOS:000396285500001	28256638	
J	Shamji, Mohammed F.; De Vos, Cecile; Sharan, Ashwini								The Advancing Role of Neuromodulation for the Management of Chronic Treatment-Refractory Pain								NEUROSURGERY				80	3			S108	S113		10.1093/neuros/nyw047			S	MAR 2017	2017	Neuropathic pain is a common cause of disability and health care utilization. While judicious pharmacotherapy and management of comorbid psychological distress can provide for improved quality of life, some patients with treatment-refractory disease require more invasive therapies. Spinal cord stimulation can provide for improvement in pain and decrease in medication utilization, with level 1 evidence supporting its use across various pain etiologies including persistent postoperative neuropathic pain, complex regional pain syndrome, chronic inoperable limb ischemia, treatment refractory angina, and painful diabetic neuropathy. These procedures can be done with acceptably low morbidity and provide a cost-effective solution for those patients in whom medical therapies have failed. Technological innovation in lead design, implantable pulse generator capability, and stimulation algorithms and parameters may further enhance the success of this therapy. Neuromodulation of distal targets such as dorsal root ganglion may permit greater anatomic specificity of the therapy, whereas subthreshold stimulation with high-frequency or burst energy delivery may eliminate noxious and off-target paresthesiae. Such new technologies should be subject to rigorous evaluation as their mechanisms of action and long-term outcomes remain hitherto undefined.																		0148-396X	1524-4040		WOS:000404513800012	28350939	
C	Hagenauer, Megan Hastings; Crodelle, Jennifer A.; Piltz, Sofia H.; Toporikova, Natalia; Ferguson, Paige; Booth, Victoria						Layton, AT; Miller, LA		The Modulation of Pain by Circadian and Sleep-Dependent Processes: A Review of the Experimental Evidence								WOMEN IN MATHEMATICAL BIOLOGY		Association for Women in Mathematics Series		8				1	21		10.1007/978-3-319-60304-9_1				2017	2017	This proceedings paper is the first in a series of three papers developing mathematical models for the complex relationship between pain and the sleep-wake cycle. Here, we briefly review what is known about the relationship between pain and the sleep-wake cycle in humans and laboratory rodents in an effort to identify constraints for the models. While it is well accepted that sleep behavior is regulated by a daily (circadian) timekeeping system and homeostatic sleep drive, the joint modulation of these two primary biological processes on pain sensitivity has not been considered. Under experimental conditions, pain sensitivity varies across the 24 h day, with highest sensitivity occurring during the evening in humans. Pain sensitivity is also modulated by sleep behavior, with pain sensitivity increasing in response to the build-up of homeostatic sleep pressure following sleep deprivation or sleep disruption. To explore the interaction between these two biological processes using modeling, we first compare the magnitude of their effects across a variety of experimental pain studies in humans. To do this comparison, we normalize the results from experimental pain studies relative to the range of physiologically meaningful stimulation levels. Following this normalization, we find that the estimated impact of the daily rhythm and of sleep deprivation on experimental pain measurements is surprisingly consistent across different pain modalities. We also review evidence documenting the impact of circadian rhythms and sleep deprivation on the neural circuitry in the spinal cord underlying pain sensation. The characterization of sleep-dependent and circadian influences on pain sensitivity in this review paper is used to develop and constrain the mathematical models introduced in the two companion articles.					Research Collaboration Workshop on Women in Mathematical Biology (NIMBioS)Research Collaboration Workshop on Women in Mathematical Biology (NIMBioS)	JUN 22, 2015JUN 22, 2015	Assoc Women MathAssoc Women Math	Natl Inst Math & Biol Synthesis, Knoxville, TNNatl Inst Math & Biol Synthesis, Knoxville, TN										2364-5733	2364-5741	978-3-319-60304-9; 978-3-319-60302-5	WOS:000441708400001		
C	Crodelle, Jennifer A.; Piltz, Sofia H.; Booth, Victoria; Hagenauer, Megan Hastings						Layton, AT; Miller, LA		Investigating Circadian Rhythmicity in Pain Sensitivity Using a Neural Circuit Model for Spinal Cord Processing of Pain								WOMEN IN MATHEMATICAL BIOLOGY		Association for Women in Mathematics Series		8				23	48		10.1007/978-3-319-60304-9_2				2017	2017	Primary processing of painful stimulation occurs in the dorsal horn of the spinal cord. In this article, we introduce mathematical models of the neural circuitry in the dorsal horn responsible for processing nerve fiber inputs from noxious stimulation of peripheral tissues and generating the resultant pain signal. The differential equation models describe the average firing rates of excitatory and inhibitory interneuron populations, as well as the wide dynamic range (WDR) neurons whose output correlates with the pain signal. The temporal profile of inputs on the different afferent nerve fibers that signal noxious and innocuous stimulation and the excitability properties of the included neuronal populations are constrained by experimental results. We consider models for the spinal cord circuit in isolation and when top-down inputs from higher brain areas that modulate pain processing are included. We validate the models by replicating experimentally observed phenomena of A fiber inhibition of pain and wind-up. We then use the models to investigate mechanisms for the observed phase shift in circadian rhythmicity of pain that occurs with neuropathic pain conditions. Our results suggest that changes in neuropathic pain rhythmicity can occur through dysregulation of inhibition within the dorsal horn circuit.					Research Collaboration Workshop on Women in Mathematical Biology (NIMBioS)Research Collaboration Workshop on Women in Mathematical Biology (NIMBioS)	JUN 22, 2015JUN 22, 2015	Assoc Women MathAssoc Women Math	Natl Inst Math & Biol Synthesis, Knoxville, TNNatl Inst Math & Biol Synthesis, Knoxville, TN										2364-5733	2364-5741	978-3-319-60304-9; 978-3-319-60302-5	WOS:000441708400002		
J	Radwani, Houda; Lopez-Gonzalez, Maria Jose; Cattaert, Daniel; Roca-Lapirot, Olivier; Dobremez, Eric; Bouali-Benazzouz, Rabia; Eiriksdottir, Emelia; Langel, Ulo; Favereaux, Alexandre; Errami, Mohammed; Landry, Marc; Fossat, Pascal								Cav1.2 and Cav1.3 L-type calcium channels independently control short- and long-term sensitization to pain								JOURNAL OF PHYSIOLOGY-LONDON				594	22			6607	6626		10.1113/JP272725				NOV 15 2016	2016	Short-term central sensitization to pain temporarily increases the responsiveness of nociceptive pathways after peripheral injury. In dorsal horn neurons (DHNs), short-term sensitization can be monitored through the study of wind-up. Wind-up, a progressive increase in DHNs response following repetitive peripheral stimulations, depends on the post-synaptic L-type calcium channels. In the dorsal horn of the spinal cord, two L-type calcium channels are present, Cav1.2 and Cav1.3, each displaying specific kinetics and spatial distribution. In the present study, we used a mathematical model of DHNs in which we integrated the specific patterns of expression of each Cav subunits. This mathematical approach reveals that Cav1.3 is necessary for the onset of wind-up, whereas Cav1.2 is not and that synaptically triggered wind-up requires NMDA receptor activation. We then switched to a biological preparation in which we knocked down Cav subunits and confirmed the prominent role of Cav1.3 in both naive and spinal nerve ligation model of neuropathy (SNL). Interestingly, although a clear mechanical allodynia dependent on Cav1.2 expression was observed after SNL, the amplitude of wind-up was decreased. These results were confirmed with our model when adapting Cav1.3 conductance to the changes observed after SNL. Finally, our mathematical approach predicts that, although wind-up amplitude is decreased in SNL, plateau potentials are not altered, suggesting that plateau and wind-up are not fully equivalent. Wind-up and long-term hyperexcitability of DHNs are differentially controlled by Cav1.2 and Cav1.3, therefore confirming that short- and long-term sensitization are two different phenomena triggered by distinct mechanisms.																		0022-3751	1469-7793		WOS:000389029900017	27231046	
J	Pais-Vieira, Miguel; Yadav, Amol P.; Moreira, Derek; Guggenmos, David; Santos, Amilcar; Lebedev, Mikhail; Nicolelis, Miguel A. L.								A Closed Loop Brain-machine Interface for Epilepsy Control Using Dorsal Column Electrical Stimulation								SCIENTIFIC REPORTS				6						32814	10.1038/srep32814				SEP 8 2016	2016	Although electrical neurostimulation has been proposed as an alternative treatment for drug-resistant cases of epilepsy, current procedures such as deep brain stimulation, vagus, and trigeminal nerve stimulation are effective only in a fraction of the patients. Here we demonstrate a closed loop brain-machine interface that delivers electrical stimulation to the dorsal column (DCS) of the spinal cord to suppress epileptic seizures. Rats were implanted with cortical recording microelectrodes and spinal cord stimulating electrodes, and then injected with pentylenetetrazole to induce seizures. Seizures were detected in real time from cortical local field potentials, after which DCS was applied. This method decreased seizure episode frequency by 44% and seizure duration by 38%. We argue that the therapeutic effect of DCS is related to modulation of cortical theta waves, and propose that this closed-loop interface has the potential to become an effective and semi-invasive treatment for refractory epilepsy and other neurological disorders.																		2045-2322			WOS:000382643600001	27605389	
J	Stroman, Patrick W.; Khan, Hamza S.; Bosma, Rachel L.; Cotoi, Andrea I.; Leung, Roxanne; Cadotte, David W.; Fehlings, Michael. G.								Changes in Pain Processing in the Spinal Cord and Brainstem after Spinal Cord Injury Characterized by Functional Magnetic Resonance Imaging								JOURNAL OF NEUROTRAUMA				33	15			1450	1460		10.1089/neu.2015.4257				AUG 1 2016	2016	Traumatic spinal cord injury (SCI) has a number of devastating consequences, including high prevalence of chronic pain and altered pain sensitivity. The causes of altered pain states vary depending on the injury and are difficult to diagnose and treat. A better understanding of pain mechanisms after SCI is expected to lead to better diagnostic capabilities and improved treatments. We therefore applied functional magnetic resonance imaging (fMRI) of the brainstem and spinal cord in a group of participants with previous traumatic SCI to characterize changes in pain processing as a result of their injuries. The same thermal stimulus was applied to the medial palm (C8 dermatome) as a series of repeated brief noxious thermal pulses in a group of 16 participants with a cervical (n = 14) and upper thoracic (n = 2) injuries. Functional MRI of the brainstem and spinal cord was used to determine the neuronal activity evoked by the noxious stimulation, and connectivity between regions was characterized with structural equation modeling (SEM). The results show that pain ratings, the location and magnitude of blood oxygenation-level dependent fMRI results, and connectivity assessed with SEM varied widely across participants. However, the results varied in relation to the perceived pain and the level/severity of injuries, particularly in terms of hypothalamus connectivity with other regions, and descending modulation via the periaqueductal gray matter-rostral ventromedial medulla-cord pathway. The results, therefore, appear to provide sensitive indicators of each individual's pain response, and information about the mechanisms of altered pain sensitivity. The ability to characterize changes in pain processing in individuals with SCI represents a significant technological advance.																		0897-7151	1557-9042		WOS:000380816200006	26801315	
J	Frahm, Ken Steffen; Hennings, Kristian; Vera-Portocarrero, Louis; Wacnik, Paul W.; Morch, Carsten Dahl								Muscle Activation During Peripheral Nerve Field Stimulation Occurs Due to Recruitment of Efferent Nerve Fibers, Not Direct Muscle Activation								NEUROMODULATION				19	6			587	596		10.1111/ner.12466				AUG 2016	2016	BackgroundPeripheral nerve field stimulation (PNFS) is a potential treatment for chronic low-back pain. Pain relief using PNFS is dependent on activation of non-nociceptive A-fibers. However, PNFS may also activate muscles, causing twitches and discomfort. In this study, we developed a mathematical model, to investigate the activation of sensory and motor nerves, as well as direct muscle fiber activation.MethodsThe extracellular field was estimated using a finite element model based on the geometry of CT scanned lumbar vertebrae. The electrode was modeled as being implanted to a depth of 10-15 mm. Three implant directions were modeled; horizontally, vertically, and diagonally. Both single electrode and between-lead stimulation between contralateral electrodes were modeled. The extracellular field was combined with models of sensory A-nerves, motor neurons and muscle fibers to estimate their activation thresholds.ResultsThe model showed that sensory A fibers could be activated with thresholds down to 0.563 V, and the lowest threshold for motor nerve activation was 7.19 V using between-lead stimulation with the cathode located closest to the nerves. All thresholds for direct muscle activation were above 500 V.ConclusionsThe results suggest that direct muscle activation does not occur during PNFS, and concomitant motor and sensory nerve fiber activation are only likely to occur when using between-lead configuration. Thus, it may be relevant to investigate the location of the innervation zone of the low-back muscles prior to electrode implantation to avoid muscle activation.																		1094-7159	1525-1403		WOS:000382755300006	27353079	
J	Hunt, James; Murrell, Jo; Knazovicky, David; Harris, John; Kelly, Sara; Knowles, Toby G.; Lascelles, B. Duncan X.								Alfaxalone Anaesthesia Facilitates Electrophysiological Recordings of Nociceptive Withdrawal Reflexes in Dogs (Canis familiaris)								PLOS ONE				11	7					e0158990	10.1371/journal.pone.0158990				JUL 19 2016	2016	Naturally occurring canine osteoarthritis represents a welfare issue for affected dogs (Canis familiaris), but is also considered very similar to human osteoarthritis and has therefore been proposed as a model of disease in humans. Central sensitisation is recognized in human osteoarthritis sufferers but identification in dogs is challenging. Electromyographic measurement of responses to nociceptive stimulation represents a potential means of investigating alterations in central nociceptive processing, and has been evaluated in conscious experimental dogs, but is likely to be aversive. Development of a suitable anaesthetic protocol in experimental dogs, which facilitated electrophysiological nociceptive withdrawal reflex assessment, may increase the acceptability of using the technique in owned dogs with naturally occurring osteoarthritis. Seven purpose bred male hound dogs underwent electromyographic recording sessions in each of three states: acepromazine sedation, alfaxalone sedation, and alfaxalone anaesthesia. Electromyographic responses to escalating mechanical and electrical, and repeated electrical, stimuli were recorded. Subsequently the integral of both early and late rectified responses was calculated. Natural logarithms of the integral values were analysed within and between the three states using multi level modeling. Alfaxalone increased nociceptive thresholds and decreased the magnitude of recorded responses, but characteristics of increasing responses with increasing stimulus magnitude were preserved. Behavioural signs of anxiety were noted in two out of seven dogs during recordings in the acepromazine sedated state. There were few significant differences in response magnitude or nociceptive threshold between the two alfaxalone states. Following acepromazine premedication, induction of anaesthesia with 1-2 mg kg(-1) alfaxalone, followed by a continuous rate infusion in the range 0.075-0.1 mg kg(-1) min(-1) produced suitable conditions to enable assessment of spinal nociceptive processing in dogs, without subjecting them to potentially aversive experiences. This methodology may be appropriate for obtaining electrophysiological nociceptive withdrawal reflex data in client-owned dogs with naturally occurring osteoarthritis.																		1932-6203			WOS:000380169600028	27433936	
J	Arle, Jeffrey E.; Mei, Longzhi; Carlson, Kristen W.; Shils, Jay L.								High-Frequency Stimulation of Dorsal Column Axons: Potential Underlying Mechanism of Paresthesia-Free Neuropathic Pain Relief								NEUROMODULATION				19	4			385	397		10.1111/ner.12436				JUN 2016	2016	Objective: Spinal cord stimulation (SCS) treats neuropathic pain through retrograde stimulation of dorsal column axons and their inhibitory effects on wide dynamic range (WDR) neurons. Typical SCS uses frequencies from 50-100 Hz. Newer stimulation paradigms use high-frequency stimulation (HFS) up to 10 kHz and produce pain relief but without paresthesia. Our hypothesis is that HFS preferentially blocks larger diameter axons (12-15 mu m) based on dynamics of ion channel gates and the electric potential gradient seen along the axon, resulting in inhibition of WDR cells without paresthesia.Methods: We input field potential values from a finite element model of SCS into an active axon model with ion channel sub-components for fiber diameters 1-20 mu m and simulated dynamics on a 0.001 msec time scale.Results: Assuming some degree of wave rectification seen at the axon, action potential (AP) blockade occurs as hypothesized, preferentially in larger over smaller diameters with blockade in most medium and large diameters occurring between 4.5 and 10 kHz. Simulations show both ion channel gate and virtual anode dynamics are necessary.Conclusion: At clinical HFS frequencies and pulse widths, HFS preferentially blocks larger-diameter fibers and concomitantly recruits medium and smaller fibers. These effects are a result of interaction between ion gate dynamics and the "activating function" (AF) deriving from current distribution over the axon. The larger fibers that cause paresthesia in low-frequency simulation are blocked, while medium and smaller fibers are recruited, leading to paresthesia-free neuropathic pain relief by inhibiting WDR cells.																		1094-7159	1525-1403		WOS:000380898300009	27145196	
J	Tan, Daniel; Tyler, Dustin; Sweet, Jennifer; Miller, Jonathan								Intensity Modulation: A Novel Approach to Percept Control in Spinal Cord Stimulation								NEUROMODULATION				19	3			254	259		10.1111/ner.12358				APR 2016	2016	Objective: Spinal cord stimulation (SCS) can be effective for neuropathic pain, but clinical benefit is sometimes inadequate or is offset by stimulation-induced side-effects, and response can be inconsistent among patients. Intensity-modulated stimulation (IMS) is an alternative to tonic stimulation (TS) that involves continuous variation of stimulation intensity in a sinusoidal pattern between two different values, sequentially activating distinct axonal populations to produce an effect that resembles natural physiological signals. The purpose of this study is to evaluate the effect of IMS on the clinical effect of SCS.Methods: Seven patients undergoing a percutaneous SCS trial for postlaminectomy syndrome were enrolled. Thresholds for perception, pain relief, and discomfort were measured and used to create patient-specific models of axonal activation and charge delivery for both TS and IMS. All participants underwent three two-min periods of blinded stimulation using TS, IMS, and placebo, and were asked to describe the effect on quality of the sensory percept and pain relief.Results: All participants perceived IMS differently from placebo, and five noted significant differences from TS that resulted in a more comfortable sensation. TS was described as electric and tingling, whereas IMS was described as producing a focal area of deep pressure with a sense of motion away from that focus. The anatomic location of coverage was similar between the two forms of stimulation, although one participant reported better lower back coverage with IMS. Computer modeling revealed that, compared with TS, IMS involved 36.4% less charge delivery and produced 78.7% less suprathreshold axonal activation.Conclusions: IMS for SCS is feasible, produces a more comfortable percept than conventional TS, and appears to provide a similar degree of pain relief with significantly lower energy requirements. Further studies are necessary to determine whether this represents an effective alternative to tonic SCS for treatment of neuropathic pain.																		1094-7159	1525-1403		WOS:000374703100006	26479774	
J	Frahm, Ken Steffen; Hennings, Kristian; Vera-Portocarrero, Louis; Wacnik, Paul W.; Morch, Carsten Dahl								Nerve Fiber Activation During Peripheral Nerve Field Stimulation: Importance of Electrode Orientation and Estimation of Area of Paresthesia								NEUROMODULATION				19	3			311	317		10.1111/ner.12371				APR 2016	2016	Introduction and Aim: Low back pain is one of the indications for using peripheral nerve field stimulation (PNFS). However, the effect of PNFS varies between patients; several stimulation parameters have not been investigated in depth, such as orientation of the nerve fiber in relation to the electrode. While placing the electrode parallel to the nerve fiber may give lower activation thresholds, anodal blocking may occur when the propagating action potential passes an anode.Methods: A finite element model was used to simulate the extracellular potential during PNFS. This was combined with an active cable model of Aa and Ad nerve fibers. Itwas investigated howthe angle between the nerve fiber and electrode affected the nerve activation and whether anodal blocking could occur. Finally, the area of paresthesia was estimated and compared with any concomitant Ad fiber activation.Results: The lowest threshold was found when nerve and electrode were in parallel, and that anodal blocking did not appear to occur during PNFS. The activation of Aa fibers was within therapeutic range (< 10V) of PNFS; however, within this range, Ad fiber activation also may occur. The combined area of activated Aa fibers (paresthesia) was at least two times larger than Ad fibers for similar stimulation intensities.Conclusion: No evidence of anodal blocking was observed in this PNFS model. The thresholds were lowest when the nerves and electrodes were parallel; thus, it may be relevant to investigate the overall position of the target nerve fibers prior to electrode placement.																		1094-7159	1525-1403		WOS:000374703100022	26586248	
J	Lempka, S.; Ozinga, J.; Wyant, A.; Dong, F.; Jones, S.; Nagel, S.; Machado, A.								Patient-specific computer models of spinal cord stimulation for chronic-pain management								JOURNAL OF PAIN				17	4		399	S74	S74		10.1016/j.jpain.2016.01.376			1	APR 2016	2016																			1526-5900			WOS:000373523000298		
